CN:397 31/07/2022 00:21:36 Q:-1 ID:B000046-FT Fixture:
CN:397 01/08/2022 01:34:16 Q:-1 ID:B000412-FT Fixture:stonic
CN:397 01/08/2022 01:46:21 Q:-1 ID:B000142-FT Fixture:
CN:397 01/08/2022 01:57:53 Q:-1 ID:B000142-FT Fixture:
CN:397 01/08/2022 02:59:25 Q:-1 ID:B000648-FT Fixture:
CN:397 01/08/2022 04:57:18 Q:-1 ID:B000648-FT Fixture:stonic
CN:397 01/08/2022 14:28:23 Q:-1 ID:B000358-FT Fixture:
CN:397 01/08/2022 14:28:29 Q:-1 ID:B000358-FT Fixture:
CN:397 01/08/2022 14:39:33 Q:-1 ID:B000359-FT Fixture:
CN:397 01/08/2022 15:10:06 Q:-1 ID:B000270-FT Fixture:
CN:397 01/08/2022 16:26:59 Q:-2 ID: Fixture: OUT
CN:397 01/08/2022 16:50:43 Q:-1 ID: Fixture: OUT
CN:397 01/08/2022 23:21:14 Q:-1 ID:B000465-FT Fixture:
CN:397 01/08/2022 23:42:54 Q:-1 ID:B000083-FT Fixture:
CN:397 02/08/2022 03:27:49 Q:-1 ID:B000488-FT Fixture:
CN:397 02/08/2022 06:53:49 Q:-2 ID:B000270-FT Fixture:
CN:397 02/08/2022 08:31:15 Q:-1 ID: Fixture: OUT
CN:397 02/08/2022 08:56:15 Q:-1 ID:B000663-FT Fixture:
CN:397 02/08/2022 12:58:08 Q:-1 ID: Fixture: OUT
CN:397 02/08/2022 16:06:51 Q:-1 ID: Fixture: OUT
CN:397 02/08/2022 16:10:55 Q:-2 ID: Fixture: OUT
CN:397 02/08/2022 16:17:11 Q:-1 ID: Fixture: OUT
